Test Name,FF1 Encryption Time (ns),AES-CBC Encryption Time (ns),FF1 Decryption Time (ns),AES-CBC Decryption Time (ns)
Test 495,0.0000,0.0000,0.0000,0.0000
Test 496,0.0000,0.0000,0.0000,0.0000
Test 497,0.0000,0.0000,0.0000,0.0000
Test 498,0.0000,0.0000,0.0000,0.0000
Test 499,0.0000,0.0000,0.0000,0.0000
Test 500,0.0000,0.0000,0.0000,0.0000
Test 501,0.0000,0.0000,0.0000,0.0000
Test 502,0.0000,0.0000,0.0000,0.0000
Test 503,0.0000,0.0000,0.0000,0.0000
Test 504,1.0002,0.0000,0.0000,0.0000
Test 505,0.0000,0.0000,0.0000,0.0000
Test 506,0.0000,0.0000,0.0000,0.0000
Test 507,0.0000,0.0000,0.0000,0.0000
Test 508,0.0000,0.0000,0.0000,0.0000
Test 509,0.0000,0.0000,0.0000,0.0000
Test 510,0.0000,0.0000,0.0000,0.0000
Test 511,0.0000,0.0000,0.0000,0.0000
Test 512,0.0000,0.0000,0.0000,0.0000
Test 513,0.0000,0.0000,0.0000,0.0000
Test 514,0.0000,0.0000,0.0000,0.0000
Test 515,0.0000,0.0000,0.0000,0.0000
Test 516,0.0000,0.0000,0.0000,0.0000
Test 517,0.0000,1.0002,0.0000,0.0000
Test 518,0.0000,0.0000,0.0000,0.0000
Test 519,0.0000,0.0000,0.0000,0.0000
Test 520,0.0000,0.0000,0.0000,0.0000
Test 521,0.0000,0.0000,0.0000,0.0000
Test 522,0.0000,0.0000,0.0000,0.0000
Test 523,0.0000,0.0000,0.0000,0.0000
Test 524,0.0000,0.0000,0.0000,0.0000
Test 525,0.0000,0.0000,1000900.0000,0.0000
Test 526,0.0000,0.0000,0.0000,0.0000
Test 527,0.0000,0.0000,0.0000,0.0000
Test 528,0.0000,0.0000,0.0000,0.0000
Test 529,0.0000,0.0000,0.0000,0.0000
Test 530,0.0000,0.0000,0.0000,0.0000
Test 531,0.0000,0.0000,0.0000,0.0000
Test 532,0.0000,0.0000,0.0000,0.0000
Test 533,0.0000,0.0000,0.0000,0.0000
Test 534,0.0000,0.0000,0.0000,0.0000
Test 535,0.0000,0.0000,0.0000,0.0000
Test 536,0.0000,0.0000,0.0000,0.0000
Test 537,0.0000,0.0000,999900.0000,0.0000
Test 538,0.0000,0.0000,0.0000,0.0000
Test 539,0.0000,0.0000,0.0000,0.0000
